"","split"
"1","train"
"2","train"
"3","test"
"4","train"
"5","train"
"6","train"
"7","train"
"8","test"
"9","test"
"10","test"
"11","test"
"12","test"
"13","train"
"14","train"
"15","train"
"16","train"
"17","test"
"18","train"
"19","train"
"20","train"
"21","train"
"22","test"
"23","train"
"24","train"
"25","train"
"26","test"
"27","train"
"28","train"
"29","test"
"30","train"
"31","train"
"32","train"
"33","train"
"34","test"
"35","train"
"36","test"
"37","test"
"38","train"
"39","train"
"40","train"
"41","train"
"42","train"
"43","train"
"44","test"
"45","train"
"46","train"
"47","train"
"48","train"
"49","train"
"50","train"
"51","train"
"52","train"
"53","test"
"54","train"
"55","test"
"56","train"
"57","test"
"58","train"
"59","train"
"60","test"
"61","train"
"62","train"
"63","train"
"64","test"
"65","train"
"66","train"
"67","train"
"68","train"
"69","train"
"70","train"
"71","test"
"72","train"
"73","test"
"74","train"
"75","test"
"76","test"
"77","test"
"78","train"
"79","train"
"80","train"
"81","test"
"82","train"
"83","train"
"84","train"
"85","train"
"86","train"
"87","train"
"88","train"
"89","test"
"90","train"
"91","train"
"92","train"
"93","train"
"94","test"
"95","train"
"96","train"
"97","train"
"98","train"
"99","train"
"100","train"
"101","train"
"102","train"
"103","train"
"104","train"
"105","train"
"106","train"
"107","train"
"108","test"
"109","test"
"110","train"
"111","train"
"112","train"
"113","test"
"114","train"
"115","test"
"116","train"
"117","train"
"118","train"
"119","train"
"120","train"
"121","train"
"122","test"
"123","test"
"124","train"
"125","train"
"126","test"
"127","test"
"128","train"
"129","train"
"130","train"
"131","train"
"132","test"
"133","train"
"134","test"
"135","train"
"136","train"
"137","train"
"138","train"
"139","test"
"140","train"
"141","train"
"142","train"
"143","test"
"144","test"
"145","test"
"146","test"
"147","train"
"148","test"
"149","train"
"150","test"
"151","train"
"152","train"
"153","train"
"154","train"
"155","train"
"156","train"
"157","test"
"158","test"
"159","test"
"160","test"
"161","train"
"162","train"
"163","test"
"164","train"
"165","train"
"166","train"
"167","train"
"168","test"
"169","test"
"170","train"
"171","train"
"172","train"
"173","train"
"174","train"
"175","test"
"176","train"
"177","train"
"178","train"
"179","train"
"180","test"
"181","train"
"182","test"
"183","train"
