"","split"
"1","train"
"2","test"
"3","train"
"4","train"
"5","train"
"6","train"
"7","train"
"8","test"
"9","test"
"10","test"
"11","train"
"12","test"
"13","test"
"14","train"
"15","train"
"16","train"
"17","train"
"18","test"
"19","train"
"20","train"
"21","train"
"22","train"
"23","train"
"24","test"
"25","train"
"26","test"
"27","train"
"28","train"
"29","train"
"30","train"
"31","train"
"32","test"
"33","train"
"34","train"
"35","train"
"36","test"
"37","test"
"38","train"
"39","test"
"40","test"
"41","train"
"42","train"
"43","test"
"44","test"
"45","train"
"46","train"
"47","train"
"48","test"
"49","train"
"50","train"
"51","train"
"52","train"
"53","train"
"54","train"
"55","test"
"56","train"
"57","test"
"58","train"
"59","test"
"60","train"
"61","test"
"62","train"
"63","train"
"64","train"
"65","train"
"66","train"
"67","train"
"68","test"
"69","train"
"70","train"
"71","test"
"72","train"
"73","test"
"74","train"
"75","test"
"76","test"
"77","train"
"78","train"
"79","test"
"80","test"
"81","test"
"82","train"
"83","test"
"84","train"
"85","train"
"86","test"
"87","train"
"88","train"
"89","test"
"90","train"
"91","test"
"92","test"
"93","test"
"94","test"
"95","test"
"96","train"
"97","train"
"98","train"
"99","train"
"100","train"
"101","train"
"102","train"
"103","train"
"104","test"
"105","test"
"106","train"
"107","train"
"108","train"
"109","train"
"110","train"
"111","train"
"112","test"
"113","train"
"114","train"
"115","test"
"116","train"
"117","train"
"118","train"
"119","test"
"120","train"
"121","train"
"122","train"
"123","train"
"124","test"
"125","test"
"126","train"
"127","train"
"128","train"
"129","test"
"130","train"
"131","train"
"132","train"
"133","train"
"134","train"
"135","train"
"136","test"
"137","test"
"138","test"
"139","test"
"140","train"
"141","test"
"142","train"
"143","train"
"144","test"
"145","train"
"146","test"
"147","test"
"148","train"
"149","train"
"150","train"
"151","test"
"152","train"
"153","train"
"154","test"
"155","train"
"156","train"
"157","train"
"158","train"
"159","train"
"160","train"
"161","train"
"162","test"
"163","train"
"164","train"
"165","train"
"166","train"
"167","train"
"168","train"
"169","test"
"170","train"
"171","test"
"172","test"
"173","train"
"174","test"
"175","train"
"176","train"
"177","test"
"178","test"
"179","train"
"180","train"
"181","train"
"182","train"
"183","train"
"184","test"
"185","test"
"186","train"
"187","test"
"188","train"
"189","test"
"190","test"
"191","train"
"192","train"
"193","train"
"194","train"
"195","train"
"196","train"
"197","train"
"198","train"
"199","train"
"200","train"
"201","train"
"202","train"
"203","train"
"204","train"
"205","test"
"206","test"
"207","train"
"208","train"
"209","train"
"210","train"
"211","train"
"212","train"
"213","train"
"214","train"
"215","test"
"216","train"
"217","train"
"218","train"
"219","train"
"220","train"
"221","train"
"222","train"
"223","test"
"224","train"
"225","train"
"226","train"
"227","train"
"228","train"
"229","train"
"230","train"
"231","train"
"232","test"
"233","test"
"234","test"
"235","train"
"236","train"
"237","test"
"238","train"
"239","train"
"240","train"
"241","test"
"242","test"
"243","train"
"244","test"
"245","train"
"246","train"
"247","train"
